state,age,population
AL,"Under 5 Years",310504
AK,"Under 5 Years",52083
AZ,"Under 5 Years",515910
AR,"Under 5 Years",202070
CA,"Under 5 Years",2704659
CO,"Under 5 Years",358280
CT,"Under 5 Years",211637
DE,"Under 5 Years",59319
DC,"Under 5 Years",36352
FL,"Under 5 Years",1140516
GA,"Under 5 Years",740521
HI,"Under 5 Years",87207
ID,"Under 5 Years",121746
IL,"Under 5 Years",894368
IN,"Under 5 Years",443089
IA,"Under 5 Years",201321
KS,"Under 5 Years",202529
KY,"Under 5 Years",284601
LA,"Under 5 Years",310716
ME,"Under 5 Years",71459
MD,"Under 5 Years",371787
MA,"Under 5 Years",383568
MI,"Under 5 Years",625526
MN,"Under 5 Years",358471
MS,"Under 5 Years",220813
MO,"Under 5 Years",399450
MT,"Under 5 Years",61114
NE,"Under 5 Years",132092
NV,"Under 5 Years",199175
NH,"Under 5 Years",75297
NJ,"Under 5 Years",557421
NM,"Under 5 Years",148323
NY,"Under 5 Years",1208495
NC,"Under 5 Years",652823
ND,"Under 5 Years",41896
OH,"Under 5 Years",743750
OK,"Under 5 Years",266547
OR,"Under 5 Years",243483
PA,"Under 5 Years",737462
RI,"Under 5 Years",60934
SC,"Under 5 Years",303024
SD,"Under 5 Years",58566
TN,"Under 5 Years",416334
TX,"Under 5 Years",2027307
UT,"Under 5 Years",268916
VT,"Under 5 Years",32635
VA,"Under 5 Years",522672
WA,"Under 5 Years",433119
WV,"Under 5 Years",105435
WI,"Under 5 Years",362277
WY,"Under 5 Years",38253
AL,"5 to 13 Years",552339
AK,"5 to 13 Years",85640
AZ,"5 to 13 Years",828669
AR,"5 to 13 Years",343207
CA,"5 to 13 Years",4499890
CO,"5 to 13 Years",587154
CT,"5 to 13 Years",403658
DE,"5 to 13 Years",99496
DC,"5 to 13 Years",50439
FL,"5 to 13 Years",1938695
GA,"5 to 13 Years",1250460
HI,"5 to 13 Years",134025
ID,"5 to 13 Years",201192
IL,"5 to 13 Years",1558919
IN,"5 to 13 Years",780199
IA,"5 to 13 Years",345409
KS,"5 to 13 Years",342134
KY,"5 to 13 Years",493536
LA,"5 to 13 Years",542341
ME,"5 to 13 Years",133656
MD,"5 to 13 Years",651923
MA,"5 to 13 Years",701752
MI,"5 to 13 Years",1179503
MN,"5 to 13 Years",606802
MS,"5 to 13 Years",371502
MO,"5 to 13 Years",690476
MT,"5 to 13 Years",106088
NE,"5 to 13 Years",215265
NV,"5 to 13 Years",325650
NH,"5 to 13 Years",144235
NJ,"5 to 13 Years",1011656
NM,"5 to 13 Years",241326
NY,"5 to 13 Years",2141490
NC,"5 to 13 Years",1097890
ND,"5 to 13 Years",67358
OH,"5 to 13 Years",1340492
OK,"5 to 13 Years",438926
OR,"5 to 13 Years",424167
PA,"5 to 13 Years",1345341
RI,"5 to 13 Years",111408
SC,"5 to 13 Years",517803
SD,"5 to 13 Years",94438
TN,"5 to 13 Years",725948
TX,"5 to 13 Years",3277946
UT,"5 to 13 Years",413034
VT,"5 to 13 Years",62538
VA,"5 to 13 Years",887525
WA,"5 to 13 Years",750274
WV,"5 to 13 Years",189649
